label,sl,state,district,prop_rural,female_literacy,agricultural_labour,wealth,mpce,poverty_head_ratio,poverty_gap_ratio,squared_poverty_gap,gini,log_mean_deviation,theil_index,rank_dist_phc_ratio,sort_ght,bmi_less,per_poor,total_population,total_poor_population,rice,per_c_rice,rice_use,log_rice_use,jowar,per_c_jowar,jowar_use,log_jowar_use,bajra,per_c_bajra,bajra_use,log_bajra_use,maize,per_c_maize,maize_use,log_maize_use,ragi,per_c_ragi,ragi_use,log_ragi_use,wheat,wheat_1,per_c_wheat,wheat_use,log_wheat_use,other_millets,per_capita_other_millet,oth_millet_use,log_oth_millet_use,jo_baj_othcer,per_c_jo_baj_othcer,jo_baj_othcer_use,log_jo_baj_othmillet,adbmi_le18,urban,stunted_5,wasted_5,underweight_5,lbw,open_def,jo_baj_cer,log_jo_baj_cer,jo_baj_oth_cer,total_poor_population,other_cereals_and_millets,stunting_total,stunting_lessthan6_months,stunting_6_11_months,stunting_12_23_months,stunting_24_35_months,stunting_36_59_months,wasting_total,wasting_lessthan6_months,wasting_6_11_months,wasting_12_23_months,wasting_24_35_months,wasting_36_59_months,severe_stunting_total,severe_stunting_lessthan6_months,severe_stunting_6_11_months,severe_stunting_12_23_months,severe_stunting_24_35_months,severe_stunting_36_59_months,severe_wasting_total,severe_wasting_lessthan6_months,severe_wasting_6_11_months,severe_wasting_12_23_months,severe_wasting_24_35_months,severe_wasting_36_59_months
,382,Nagaland,Mokokchung,71.36757407,91.01,7.31,25.25,1653,20.88,3.95,1.09,0.18,0.05,0.06,198,5.15926170349121,12.6165285110474,19.1,194622,37172.802,16230,0.206066844961001,3.93587673875513,0.59504148901827,0,,0,,60,0.000761799796528655,0.0145503761136973,-1.83712578042432,3940,0.0500248533053817,0.955474698132791,-0.0197808089823874,80,0.00101573306203821,0.0194005014849298,-1.71218704381602,380,,0.0102225277502621,0.195250280030007,-0.709408334580498,780,0.00990339735487252,0.189154889478065,-0.723182428117481,840,0.0106651971514012,396.455262,2.598194186,14.4,0,17.8,1.9,5.8,0,0,0.203705265591762,-0.69099774474608,840,37172.802,780,17.8210639953613,14.9019899368286,12.1838006973267,17.1584377288818,19.440673828125,19.5503616333008,1.87751197814941,9.04313278198242,0,0,2.63481783866882,1.96193158626556,4.95193147659302,5.85885715484619,6.09190034866333,9.97925281524658,1.88554322719574,2.60775637626648,0,0,0,0,0,0
,375,Mizoram,Aizawl,21.37223994,97.67,4.85,42.35,2363,18.34,4.05,1.3,0.26,0.11,0.11,161,4.22654342651367,7.49773454666138,3.6,400309,14411.124,3084,0.0190370893484783,0.0685335216545219,-1.16409695101013,0,,0,,0,,0,,481,0.0029691439612899,0.0106889182606437,-1.97106624401522,0,,0,,0,,,0,,0,0,0,,0,0,0,,6.8,0,24,2.4,6.7,7.31707317073171,0,,,0,14411.124,0,23.2830638885498,3.84385704994202,0,21.1194686889648,32.1832237243652,30.1055526733398,2.37447309494019,9.31188774108887,0,1.97007060050964,4.92459344863892,0.813347458839417,5.78326082229614,0,0,3.33164882659912,14.154426574707,5.8438777923584,0.816306293010712,3.13633608818054,0,0,1.1938157081604,0.813347458839417
,391,Nagaland,Peren,85.51759628,72.58,5.3,14.91,1869,14.82,2.37,0.57,0.2,0.06,0.08,108,12.5903244018555,6.24562740325928,52.5,95219,49989.975,17420,0.452070395614321,23.7336957697518,1.37536537106332,0,,0,,40,0.00103804912885033,0.0544975792646426,-1.26362278828036,3100,0.0804488074859009,4.2235623930098,0.625678914225949,0,,0,,370,,0.0182894370321249,0.960195444186559,-0.017640358947286,60,0.0015570736932755,0.0817463688969639,-1.08753152922468,100,0.00259512282212584,129.730125,2.113040837,7.5,0,30,4.2,10.3,0,3.1,0.136243948161606,-0.865682779608324,100,49989.975,60,29.5919456481934,0,10.5523061752319,20.5135173797607,31.2183704376221,44.3942108154297,4.15883541107178,17.2155952453613,11.309531211853,3.24498081207275,1.92902779579163,1.40443861484528,11.3580341339111,0,7.14026308059692,10.3408937454224,9.36993312835693,16.5062370300293,1.04628622531891,2.13915920257568,0,1.49602925777435,1.92902779579163,0.359395027160645
,182,Jammu and Kashmir,Badgam,87.00993041,44.85,16.73,34.72,1378,21.16,3.89,1.16,0.19,0.06,0.07,204,4.55825281143188,9.056715965271,28.2,753745,212556.09,24567,0.0805395529655255,2.27121539362782,0.356258323047636,0,,0,,0,,0,,7285,0.023882877166681,0.673497136100405,-0.171664246679578,0,,0,,3134,,0.0364340099594418,1.02743908085626,0.0117560810276234,0,0,0,,0,0,0,,12.2,0,21.3,4.4,8.9,13.0952380952381,0.442477876106195,,,0,212556.09,0,20.5265197753906,9.56660175323486,5.13710021972656,15.8029661178589,27.5497207641602,26.6582698822021,4.36162757873535,15.2789278030396,6.21976613998413,4.62765598297119,3.50150513648987,1.9615421295166,5.7316837310791,0,2.61486268043518,6.47192144393921,9.23806381225586,5.97809028625488,1.00690102577209,3.08736085891724,0,3.48729228973389,0,0
,191,Jammu and Kashmir,Ganderbal,84.18570093,45.71,18.37,34.12,,,,,,,,,1.39149606227875,6.97444772720337,24.3,297446,72279.378,7832,0.0650647969715511,1.58107456640869,0.198952352548388,0,,0,,0,,0,,4012,0.0333299240870612,0.809917155315587,-0.0915594018983128,0,,0,,0,,,0,,24,0.000199381400321403,0.00484496802781009,-2.31470908453509,24,0.000199381400321403,14.4111636,1.158699048,10.2,0,23.8,4.7,8.3,14.5833333333333,0.869565217391304,0.00484496802781009,-2.31470908453509,24,72279.378,24,23.4463729858398,12.3205184936523,6.38393306732178,13.5257873535156,26.1991939544678,34.9052085876465,4.65422105789185,4.60745763778687,8.96584129333496,5.04712295532227,6.74149703979492,2.02978992462158,3.21729469299316,3.5049192905426,0,2.633633852005,1.27902948856354,5.48019552230835,1.95159983634949,4.60745763778687,0,2.54003000259399,2.71883487701416,1.38517796993256
,362,Manipur,Imphal West,37.66718405,80.17,5.1,55.52,1513,48.77,9.82,2.79,0.21,0.07,0.1,482,7.20033121109009,6.39401912689209,23.4,517992,121210.128,23130,0.110340288073947,2.58196274093036,0.411949970879628,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,0,0,,0,0,0,,8,7.2,21.1,4.7,8.4,9.47368421052632,0.384615384615385,,,0,121210.128,0,20.9693813323975,7.63966608047485,13.2915525436401,22.4573001861572,23.7415142059326,23.1978912353516,4.6788444519043,10.8316402435303,0,5.35662937164307,3.77087473869324,4.1744065284729,6.25281858444214,6.14817190170288,6.64123582839966,5.12934255599976,5.63428640365601,7.18832015991211,1.25657677650452,3.81622171401978,0,0.499584466218948,0.75468647480011,1.579745054245
,202,Jammu and Kashmir,Samba,83.18741416,73.64,6.41,38.44,,,,,,,,,9.63289260864258,14.2428922653198,17.6,318898,56126.048,19328,0.149767180728634,2.63590238082396,0.42092932236563,0,,0,,4437,0.0343810524054713,0.605106522336296,-0.218168165858853,2667,0.0206658252795565,0.363718524920194,-0.439234578885531,0,,0,,29549,,1.30094776047656,22.8966805843875,1.35977252564225,83,0.000643143418898833,0.0113193241726195,-1.94617950219933,4520,0.0350241958243702,1965.769696,3.293532636,16.8,0,19.8,4.9,9,11.7647058823529,47.7611940298507,0.616425846508915,-0.210119159764025,4520,56126.048,83,19.4375991821289,17.5327854156494,9.33131122589111,17.0825042724609,23.0878601074219,22.583345413208,4.91471290588379,13.4785175323486,11.4155349731445,0.463754206895828,6.41935682296753,2.46964907646179,5.77845668792725,0,6.33856964111328,1.64228212833405,11.8310089111328,6.04482126235962,1.51737987995148,4.39951276779175,2.9830493927002,0,1.98664963245392,0.95849335193634
,1,Andaman and Nicobar Islands,Nicobars,100,71.06,1.36,33.68,2952,3.9,0.56,0.1,0.33,0.17,0.35,8,8.98841667175293,6.36250972747803,11.8,36842,4347.356,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,0,0,0,,0,0,0,,0,0,21.8,5.3,0,25,9.09090909090909,,,0,4347.356,0,21.2165870666504,3.56437110900879,12.7733783721924,18.0462379455566,27.2080116271973,25.0077724456787,5.33502674102783,21.3429012298584,1.10785531997681,6.84389114379883,0.892525255680084,5.53142261505127,6.10643434524536,2.83046770095825,6.88441228866577,6.70815563201904,3.53777623176575,6.99607372283936,1.61730575561523,9.26493453979492,0,3.8677830696106,0.892525255680084,0.41741743683815
,181,Jammu and Kashmir,Kupwara,87.96708006,50.95,24.33,21.37,1707,5.26,0.6,0.1,0.2,0.07,0.1,19,4.10739612579346,16.2788696289063,44.4,870354,386437.176,17403,0.0494094163409371,2.19377808553761,0.341192693839951,0,,0,,0,,0,,18741,0.053208175121847,2.36244297541001,0.373361334318376,0,,0,,0,,,0,,38,0.000107887020683538,0.00479018371834909,-2.3196478297305,38,0.000107887020683538,41.6915556,1.6200481,16.9,0,31.9,5.3,14.4,18.6666666666667,0.809716599190283,0.00479018371834909,-2.3196478297305,38,386437.176,38,31.3996429443359,3.76832938194275,12.8390283584595,36.8843955993652,37.8850173950195,33.6678695678711,5.34488439559937,14.5161848068237,11.1321725845337,2.90775799751282,7.24656820297241,2.77343392372131,10.2920408248901,0,5.1752610206604,10.1238918304443,11.4413604736328,12.5261812210083,1.07879996299744,3.34428596496582,2.84120154380798,0,0.615440726280212,1.13593482971191
,194,Jammu and Kashmir,Anantnag,73.77499787,52.19,19.19,30.45,1721,7.7,1.41,0.38,0.17,0.05,0.05,32,5.07947301864624,8.60971260070801,28,1078692,302033.76,23074,0.0528575420045759,1.48001117612813,0.170264994930395,0,,0,,0,,0,,11140,0.0255193298921286,0.714541236979601,-0.145972702526045,0,,0,,0,,,0,,0,0,0,,0,0,0,,10.1,0,19,5.6,8.2,17.4757281553398,4.27553444180523,,,0,302033.76,0,18.6894836425781,8.93738555908203,0,14.4473094940186,19.6425151824951,27.4581546783447,5.64089632034302,25.0831298828125,4.4205265045166,5.65917873382568,5.12114286422729,2.86368250846863,5.73313474655151,4.48845291137695,0,2.23563575744629,3.5376136302948,11.324746131897,2.41767430305481,18.8617534637451,0,2.16147255897522,2.8830554485321,0
